,Date,AAPL,GOOG,META,MSFT
0,1980-12-12,0.128348,,,
1,1980-12-15,0.121652,,,
2,1980-12-16,0.112723,,,
3,1980-12-17,0.115513,,,
4,1980-12-18,0.118862,,,
5,1980-12-19,0.126116,,,
6,1980-12-22,0.132254,,,
7,1980-12-23,0.137835,,,
8,1980-12-24,0.145089,,,
9,1980-12-26,0.158482,,,
10,1980-12-29,0.160714,,,
11,1980-12-30,0.156808,,,
12,1980-12-31,0.152344,,,
13,1981-01-02,0.154018,,,
14,1981-01-05,0.15067,,,
15,1981-01-06,0.143973,,,
16,1981-01-07,0.137835,,,
17,1981-01-08,0.135045,,,
18,1981-01-09,0.142299,,,
19,1981-01-12,0.141183,,,
20,1981-01-13,0.136161,,,
21,1981-01-14,0.136719,,,
22,1981-01-15,0.139509,,,
23,1981-01-16,0.138393,,,
24,1981-01-19,0.146763,,,
25,1981-01-20,0.142299,,,
26,1981-01-21,0.145089,,,
27,1981-01-22,0.146763,,,
28,1981-01-23,0.146205,,,
29,1981-01-26,0.143973,,,
30,1981-01-27,0.142857,,,
31,1981-01-28,0.138393,,,
32,1981-01-29,0.133371,,,
33,1981-01-30,0.126116,,,
34,1981-02-02,0.118862,,,
35,1981-02-03,0.123326,,,
36,1981-02-04,0.12779,,,
37,1981-02-05,0.12779,,,
38,1981-02-06,0.128348,,,
39,1981-02-09,0.121652,,,
40,1981-02-10,0.121652,,,
41,1981-02-11,0.117746,,,
42,1981-02-12,0.116629,,,
43,1981-02-13,0.113839,,,
44,1981-02-17,0.116629,,,
45,1981-02-18,0.121652,,,
46,1981-02-19,0.114397,,,
47,1981-02-20,0.108259,,,
48,1981-02-23,0.109933,,,
49,1981-02-24,0.106027,,,
50,1981-02-25,0.112723,,,
51,1981-02-26,0.114397,,,
52,1981-02-27,0.118304,,,
53,1981-03-02,0.118862,,,
54,1981-03-03,0.117188,,,
55,1981-03-04,0.116071,,,
56,1981-03-05,0.115513,,,
57,1981-03-06,0.114397,,,
58,1981-03-09,0.105469,,,
59,1981-03-10,0.100446,,,
60,1981-03-11,0.09654,,,
61,1981-03-12,0.100446,,,
62,1981-03-13,0.09933,,,
63,1981-03-16,0.103237,,,
64,1981-03-17,0.108259,,,
65,1981-03-18,0.114955,,,
66,1981-03-19,0.113839,,,
67,1981-03-20,0.114955,,,
68,1981-03-23,0.11942,,,
69,1981-03-24,0.118862,,,
70,1981-03-25,0.116629,,,
71,1981-03-26,0.114397,,,
72,1981-03-27,0.110491,,,
73,1981-03-30,0.110491,,,
74,1981-03-31,0.109375,,,
75,1981-04-01,0.108259,,,
76,1981-04-02,0.117746,,,
77,1981-04-03,0.118304,,,
78,1981-04-06,0.116071,,,
79,1981-04-07,0.114955,,,
80,1981-04-08,0.120536,,,
81,1981-04-09,0.122768,,,
82,1981-04-10,0.124442,,,
83,1981-04-13,0.124442,,,
84,1981-04-14,0.124442,,,
85,1981-04-15,0.118304,,,
86,1981-04-16,0.111607,,,
87,1981-04-20,0.114955,,,
88,1981-04-21,0.122768,,,
89,1981-04-22,0.127232,,,
90,1981-04-23,0.13058,,,
91,1981-04-24,0.129464,,,
92,1981-04-27,0.128348,,,
93,1981-04-28,0.126116,,,
94,1981-04-29,0.124442,,,
95,1981-04-30,0.126674,,,
96,1981-05-01,0.126674,,,
97,1981-05-04,0.126116,,,
98,1981-05-05,0.125558,,,
99,1981-05-06,0.12221,,,
100,1981-05-07,0.123884,,,
101,1981-05-08,0.125,,,
102,1981-05-11,0.12221,,,
103,1981-05-12,0.12221,,,
104,1981-05-13,0.121652,,,
105,1981-05-14,0.119978,,,
106,1981-05-15,0.122768,,,
107,1981-05-18,0.125,,,
108,1981-05-19,0.122768,,,
109,1981-05-20,0.126674,,,
110,1981-05-21,0.133929,,,
111,1981-05-22,0.140067,,,
112,1981-05-26,0.139509,,,
113,1981-05-27,0.147321,,,
114,1981-05-28,0.147321,,,
115,1981-05-29,0.147879,,,
116,1981-06-01,0.147879,,,
117,1981-06-02,0.140625,,,
118,1981-06-03,0.140625,,,
119,1981-06-04,0.143415,,,
120,1981-06-05,0.141183,,,
